name|institution|course_id|language
Machine Learning|Stanford University|machine-learning|English
Indigenous Canada|University of Alberta|indigenous-canada|English
The Science of Well-Being|Yale University|the-science-of-well-being|English
Technical Support Fundamentals|Google|technical-support-fundamentals|Deutsch
Become a CBRS Certified Professional Installer by Google|Google - Spectrum Sharing|google-cbrs-cpi-training|English
Financial Markets|Yale University|financial-markets-global|English
Introduction to Psychology|Yale University|introduction-psychology|English
Programming for Everybody (Getting Started with Python)|University of Michigan|python|English
The Bits and Bytes of Computer Networking|Google|computer-networking|English
AI For Everyone|DeepLearning.AI|ai-for-everyone|English
Crash Course on Python|Google|python-crash-course|English
Psychological First Aid|Johns Hopkins University|psychological-first-aid|English
Neural Networks and Deep Learning|DeepLearning.AI|neural-networks-deep-learning|English
What is Data Science?|IBM|what-is-datascience|English
Successful Negotiation: Essential Strategies and Skills|University of Michigan|negotiation-skills|English
Fundamentals of Project Planning and Management|University of Virginia|uva-darden-project-management|English
Project Launch|University of California, Irvine|project-management|English
Brand Management: Aligning Business, Brand and Behaviour|London Business School|brand|English
Writing in the Sciences|Stanford University|sciwrite|English
Stanford Introduction to Food and Health|Stanford University|food-and-health|English
HTML, CSS, and Javascript for Web Developers|Johns Hopkins University|html-css-javascript-for-web-developers|English
Excel Skills for Business: Essentials|Macquarie University|excel-essentials|English
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator|Yale University|negotiation|English
Everyday Excel, Part 1|University of Colorado Boulder|everyday-excel-part-1|English
Learning How to Learn: Powerful mental tools to help you master tough subjects|University of California San Diego|learning-how-to-learn|English
Google Cloud Platform Fundamentals: Core Infrastructure|Google Cloud|gcp-fundamentals|English
Viral Marketing and How to Craft Contagious Content|University of Pennsylvania|wharton-contagious-viral-marketing|English
Python Data Structures|University of Michigan|python-data|English
Private Equity and Venture Capital|Università Bocconi|private-equity|English
First Step Korean|Yonsei University|learn-korean|English
Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning|DeepLearning.AI|introduction-tensorflow|English
Operating Systems and You: Becoming a Power User|Google|os-power-user|English
Tools for Data Science|IBM|open-source-tools-for-data-science|English
Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization|DeepLearning.AI|deep-neural-network|English
Diversity and inclusion in the workplace|ESSEC Business School|diversity-inclusion-workplace|English
Design and Interpretation of Clinical Trials|Johns Hopkins University|clinical-trials|English
Visual Elements of User Interface Design|California Institute of the Arts|visual-elements-user-interface-design|English
Management of Fashion and Luxury Companies|Università Bocconi|mafash|English
Primeros Auxilios Psicológicos (PAP)|Universitat Autònoma de Barcelona|pap|Spanish
Social Psychology|Wesleyan University|social-psychology|English
Initiating and Planning Projects|University of California, Irvine|project-planning|English
Computational Thinking for Problem Solving|University of Pennsylvania|computational-thinking-problem-solving|English
Agile with Atlassian Jira|Atlassian|agile-atlassian-jira|English
Fundamentals of Graphic Design|California Institute of the Arts|fundamentals-of-graphic-design|English
Introduction to User Experience Design|Georgia Institute of Technology|user-experience-design|English
Introduction to Marketing|University of Pennsylvania|wharton-marketing|English
